tau,name f1,name f2,result,overlap_KOw_0-2ya,overlap_KOl_0-2ya,overlap_Subw_0-2ya,overlap_Subl_0-2ya,overlap_Decw_0-2ya,overlap_Decl_0-2ya,overlap_KOw_vs_KOl_0-2ya,overlap_KOw_vs_Subw_0-2ya,overlap_KOw_vs_Subl_0-2ya,overlap_KOw_vs_Decw_0-2ya,overlap_KOw_vs_Decl_0-2ya,overlap_KOl_vs_KOw_0-2ya,overlap_KOl_vs_Subw_0-2ya,overlap_KOl_vs_Subl_0-2ya,overlap_KOl_vs_Decw_0-2ya,overlap_KOl_vs_Decl_0-2ya,overlap_Subw_vs_KOw_0-2ya,overlap_Subw_vs_KOl_0-2ya,overlap_Subw_vs_Subl_0-2ya,overlap_Subw_vs_Decw_0-2ya,overlap_Subw_vs_Decl_0-2ya,overlap_Subl_vs_KOw_0-2ya,overlap_Subl_vs_KOl_0-2ya,overlap_Subl_vs_Subw_0-2ya,overlap_Subl_vs_Decw_0-2ya,overlap_Subl_vs_Decl_0-2ya,overlap_Decw_vs_KOw_0-2ya,overlap_Decw_vs_KOl_0-2ya,overlap_Decw_vs_Subw_0-2ya,overlap_Decw_vs_Subl_0-2ya,overlap_Decw_vs_Decl_0-2ya,overlap_Decl_vs_KOw_0-2ya,overlap_Decl_vs_KOl_0-2ya,overlap_Decl_vs_Subw_0-2ya,overlap_Decl_vs_Subl_0-2ya,overlap_Decl_vs_Decw_0-2ya,tot_KOw_0-2ya_f1,tot_KOw_0-2ya_f2,tot_KOl_0-2ya_f1,tot_KOl_0-2ya_f2,tot_Subw_0-2ya_f1,tot_Subw_0-2ya_f2,tot_Subl_0-2ya_f1,tot_Subl_0-2ya_f2,tot_Decw_0-2ya_f1,tot_Decw_0-2ya_f2,tot_Decl_0-2ya_f1,tot_Decl_0-2ya_f2
59,Robbie Lawler,Steve Berger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
59,Tony Fryklund,Rodrigo Ruas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,Yves Edwards,Joao Pierini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Evan Tanner,Chris Haseman,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
62,Genki Sudo,Leigh Remedios,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Ian Freeman,Frank Mir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
62,Mark Weir,Eugene Jackson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
62,Matt Hughes,Carlos Newton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
62,Phillip Miller,James Zikic,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,Renato Sobral,Elvis Sinosic,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
