name f1,E f1,R f1,R _REMOVE_ f1,name f2,E f2,R f2,R _REMOVE_ f2,tau,result
Vladimir Matyushenko,0.6712227705333988,1524.4596889113693,1540.3316430307218,Pedro Rizzo,0.32877722946660115,1462.4666989869847,1446.781712862994,95,2
Yves Edwards,0.4503106476674887,1482.6789782859767,1509.2156219406263,Rich Clementi,0.5496893523325113,,1472.9110055075737,95,1
Dave Strasser,,,1524.6402758007582,Romie Aram,,,1475.3597241992418,103,2
David Loiseau,0.4984784770759841,,1524.715257289728,Mark Weir,0.501521522924016,1500.5286328397315,1476.1004315190949,103,0
Duane Ludwig,0.42955140044169904,,1528.1120216465456,Genki Sudo,0.570448599558301,1524.6402758007582,1496.668374846012,103,2
Hermes Franca,,,1524.6402758007582,Richard Crunkilton,,,1475.3597241992418,103,2
Matt Hughes,0.5823809453959126,1581.7601439627454,1601.683509967156,Sean Sherk,0.41761905460408744,1552.8747737232666,1532.5333090504769,103,2
Pete Spratt,0.31610252325254173,1493.878112117881,1527.1895144825478,Robbie Lawler,0.6838974767474583,1560.9107198855816,1527.8950837635573,103,1
Rich Franklin,0.33153280072746544,,1532.9424323076712,Evan Tanner,0.6684671992725346,1560.9107198855816,1528.6399913611067,103,0
Wesley Correira,0.42955140044169904,1475.3597241992418,1503.331625153988,Sean Alvarez,0.570448599558301,,1471.8879783534544,103,0
Falaniko Vitale,0.3246561536565046,,1533.281317268497,Matt Lindland,0.6753438463434954,1563.6202615812103,1532.5477044239049,109,0
Frank Mir,0.5937777465798569,1532.9720412466756,1532.9720412466756,Wes Sims,0.40622225342014306,,1500.0,109,-1
Kimo Leopoldo,0.5663439837966934,,1521.370807683815,David Abbott,0.4336560162033066,1476.81301688308,1455.5487291925483,109,1
Pedro Rizzo,0.3514439540998497,1446.781712862994,1477.2415839066512,Tra Telligman,0.6485560459001503,,1468.0388003135422,109,0
Randy Couture,0.2620604500064002,1502.548596811811,1537.7535032488283,Chuck Liddell,0.7379395499935998,1592.4724577326913,1557.8146302821397,109,0
Vernon White,0.5145415063299892,,1499.2833865469413,Ian Freeman,0.4854584936700108,1494.946338080163,1495.6546284084889,109,3
Vitor Belfort,0.4541418984248065,1484.0223621268653,1510.7884700013165,Marvin Eastman,0.5458581015751935,,1473.099811658218,109,0
Yves Edwards,0.5264998378487327,1509.2156219406263,1531.8049097848575,Eddie Ruiz,0.47350016215126733,,1476.6656508257781,109,2
Andrei Arlovski,0.34176266244783665,1483.4000632207824,1515.1769379095265,Vladimir Matyushenko,0.6582373375521633,1540.3316430307218,1508.9290926699555,125,0
Hermes Franca,0.43123640339826214,1524.6402758007582,1552.529552771773,Caol Uno,0.5687635966017379,1548.6835511123118,1521.9711861342466,125,0
Jorge Rivera,0.42933988359029035,,1528.122445313656,David Loiseau,0.5706601164097096,1524.715257289728,1496.7329846232756,125,2
Josh Thomson,,,1524.6402758007582,Gerald Strebendt,,,1475.3597241992418,125,0
Karo Parisyan,0.42955140044169904,,1528.1120216465456,Dave Strasser,0.570448599558301,1524.6402758007582,1496.668374846012,125,1
Nick Diaz,,,1524.6402758007582,Jeremy Jackson,,,1475.3597241992418,125,1
Randy Couture,0.4171722206576189,1537.7535032488283,1565.126402031678,Tito Ortiz,0.5828277793423811,1566.7984756839392,1538.6620509436545,125,2
Rich Franklin,0.5936955204128742,1532.9424323076712,1552.8655396117838,Edwin DeWees,0.4063044795871258,,1479.9770911277794,125,0
Tim Sylvia,0.5417492470854487,1558.3473423529795,1580.6679031581555,Gan McGee,0.4582507529145513,1543.8083165074056,1521.4877557022296,125,0
Evan Tanner,0.5744806463243869,1528.6399913611067,1548.9402571937485,Phil Baroni,0.4255193536756131,1502.568774427888,1482.2685085952462,133,0
Keith Rockel,0.4197860812301021,1471.8879783534544,1500.3387209461496,Chris Liguori,0.5802139187698979,,1471.406738036142,133,1
Matt Hughes,0.7632669440787057,1601.683509967156,1612.8018372122983,Frank Trigg,0.23673305592129434,,1488.333664421886,133,1
Matt Lindland,0.4978885050520333,1532.5477044239049,1555.040120748591,Falaniko Vitale,0.5021114949479667,1533.281317268497,1508.6603207128055,133,0
Pedro Rizzo,0.2764693842289008,1477.2415839066512,1510.5312133825569,Ricco Rodriguez,0.7235306157710992,1560.803557410973,1527.5139279350674,133,2
Robbie Lawler,0.5796054699425586,1527.8950837635573,1547.9508594669119,Chris Lytle,0.42039453005744143,,1479.282725668509,133,2
Wesley Correira,0.6341636448513995,1503.331625153988,1521.1508487076935,David Abbott,0.36583635514860047,1455.5487291925483,1437.7295056388427,133,0
Yves Edwards,0.5905326012217963,1531.8049097848575,1551.0358216577938,Nick Agallar,0.4094673987782037,,1479.821220725372,133,0
BJ Penn,0.3834622801274951,1571.5544368874882,1599.1726515963194,Matt Hughes,0.6165377198725048,1612.8018372122983,1584.4349487833938,143,1
Frank Mir,0.5937777465798569,1532.9720412466756,1552.0505426845396,Wes Sims,0.40622225342014306,1500.0,1480.080924649337,143,0
Georges St-Pierre,0.4197860812301021,,1528.593261963858,Karo Parisyan,0.5802139187698979,1528.1120216465456,1499.6612790538504,143,2
Josh Thomson,0.42041081978596156,1524.6402758007582,1553.0603843888812,Hermes Franca,0.5795891802140385,1552.529552771773,1524.2988178374394,143,2
Lee Murray,0.41975685194302065,,1528.5947023992483,Jorge Rivera,0.5802431480569794,1528.122445313656,1499.6702694652322,143,1
Matt Serra,0.4417997519261329,1479.6870885030462,1505.903338710488,Jeff Curran,0.558200248073867,,1472.4915838708166,143,2
Renato Verissimo,0.47215724735243214,,1526.012382009335,Carlos Newton,0.5278427526475679,1509.683580551303,1484.5017689509132,143,2
Vitor Belfort,0.3485114898345139,1510.7884700013165,1542.521290542331,Randy Couture,0.6514885101654861,1565.126402031678,1535.1514284251982,143,0
Andrei Arlovski,0.48281247720837334,1515.1769379095265,1539.8504201079395,Wesley Correira,0.5171875227916267,1521.1508487076935,1496.1832539440052,152,0
Chris Lytle,0.4943238617767956,1479.282725668509,1504.0785142189768,Tiki Ghosn,0.5056761382232045,1481.254902799411,1456.4591142489433,152,1
