suffix,vv_size,vv_seed,vv_random_split,max_depth,learning_rate,n_estimators,min_child_weight,gamma,subsample,colsample_bytree,reg_alpha,reg_lambda,top_k_feats,n_features,ll7_tv,f1macro7_tv,acc7_tv,ll2_tv,f1macro2_tv,acc2_tv,ll7_vt,f1macro7_vt,acc7_vt,ll2_vt,f1macro2_vt,acc2_vt
natty,0,34,False,5,0.0296958462776455,633,21,2.4474136752138245,0.8097899978811085,1,0.0,1.0,115,115,1.5957,0.2554,0.3451,0.589,0.6668,0.6668,1.5684,0.2353,0.3564,0.6339,0.6459,0.6459
natty,0,34,False,6,0.0280659366669012,480,16,2.0,0.8491524929031592,1,0.0,1.0,All,All (261),1.5957,0.2521,0.3457,0.5889,0.667,0.667,1.5732,0.2315,0.3522,0.6369,0.6409,0.6409
natty,0,34,False,6,0.0206001131343026,699,7,1.0,0.8035051710026213,1,0.0,1.0,13,103,1.5957,0.2517,0.3444,0.5887,0.6655,0.6655,1.5721,0.2329,0.3561,0.6356,0.6453,0.6453
natty,0,34,False,5,0.0269056757443727,443,16,2.0,0.8710769932320437,1,0.0,1.0,All,All (261),1.5958,0.2555,0.3489,0.5898,0.6667,0.6667,1.5717,0.2328,0.3536,0.6377,0.643,0.643
natty,0,34,False,6,0.0227322923203685,559,15,2.0,0.8511004730923344,1,0.0,1.0,14,94,1.5958,0.251,0.3419,0.5877,0.6676,0.6676,1.5721,0.234,0.3544,0.635,0.6448,0.6448
natty,0,34,False,6,0.0201936840919845,695,6,1.0,0.8425519919950061,1,0.0,1.0,13,103,1.5958,0.2505,0.3436,0.5874,0.666,0.666,1.5735,0.2302,0.3496,0.636,0.6423,0.6423
natty,0,34,False,6,0.0201799154886745,691,6,1.0,0.8630659181130071,1,0.0,1.0,13,103,1.5958,0.2484,0.3418,0.588,0.6668,0.6668,1.5738,0.2327,0.3512,0.6359,0.6396,0.6396
natty,0,34,False,6,0.0231849370504931,637,10,1.0,0.8030668283866049,1,0.0,1.0,13,103,1.596,0.2515,0.3444,0.5887,0.6682,0.6682,1.5717,0.2339,0.3551,0.636,0.6448,0.6448
natty,0,34,False,6,0.0240175101401588,664,21,2.431169021241687,0.7505973708590279,1,0.0,1.0,67,67,1.5961,0.2552,0.345,0.5882,0.6696,0.6696,1.5709,0.2348,0.3529,0.6349,0.6415,0.6415
natty,0,34,False,6,0.0228111812711647,457,16,2.0,0.870921603440843,1,0.0,1.0,All,All (261),1.5961,0.2529,0.3466,0.5898,0.6684,0.6684,1.5728,0.2322,0.3544,0.638,0.6403,0.6403
natty,0,34,False,6,0.021029156757906,699,5,1.0,0.8814494294630898,1,0.0,1.0,13,103,1.5961,0.2497,0.3417,0.5876,0.6659,0.6659,1.5732,0.2266,0.3493,0.6357,0.6418,0.6418
natty,0,34,False,6,0.0360303345931018,483,17,2.0,0.8941623939209822,1,0.0,1.0,All,All (261),1.5962,0.2531,0.3439,0.5887,0.6666,0.6666,1.5747,0.2309,0.3504,0.6382,0.6392,0.6393
natty,0,34,False,6,0.0330306881526923,409,20,3.0,0.7971324019768526,1,0.0,1.0,All,All (261),1.5962,0.2524,0.3456,0.5907,0.6687,0.6687,1.5726,0.2308,0.3508,0.6382,0.6416,0.6417
natty,0,34,False,5,0.0295071430640991,620,20,2.078009320221218,0.7655994520336202,1,0.0,1.0,54,54,1.5962,0.2508,0.3391,0.5873,0.6645,0.6645,1.5718,0.2374,0.3592,0.6351,0.6399,0.6399
