upp_low,temp_f_id,name f1,name f2,tau
0,215,Drew Fickett,Josh Koscheck,230
1,213,Edwin DeWees,Chris Leben,230
1,214,Evan Tanner,David Loiseau,230
1,212,Fabiano Scherner,Brandon Vera,230
1,217,Jay Hieron,Jonathan Goulet,230
0,216,Jon Fitch,Brock Larson,230
0,217,Jonathan Goulet,Jay Hieron,230
1,215,Josh Koscheck,Drew Fickett,230
0,218,Spencer Fisher,Thiago Alves,230
1,218,Thiago Alves,Spencer Fisher,230
0,219,Andrei Arlovski,Paul Buentello,231
0,220,Branden Lee Hinkle,Sean Gannon,231
1,225,Chael Sonnen,Renato Sobral,231
1,222,Chris Lytle,Joe Riggs,231
1,223,Dennis Hallman,Jorge Rivera,231
1,221,Elvis Sinosic,Forrest Griffin,231
0,221,Forrest Griffin,Elvis Sinosic,231
0,222,Joe Riggs,Chris Lytle,231
0,223,Jorge Rivera,Dennis Hallman,231
1,224,Keigo Kunihara,Marcio Cruz,231
0,224,Marcio Cruz,Keigo Kunihara,231
1,219,Paul Buentello,Andrei Arlovski,231
0,225,Renato Sobral,Chael Sonnen,231
1,220,Sean Gannon,Branden Lee Hinkle,231
1,232,Brad Imes,Rashad Evans,235
0,226,Diego Sanchez,Nick Diaz,235
0,227,Joe Stevenson,Luke Cummo,235
0,228,Joshua Burkman,Sammy Morgan,235
0,229,Keith Jardine,Kerry Schall,235
0,230,Kenny Florian,Kit Cope,235
1,229,Kerry Schall,Keith Jardine,235
1,230,Kit Cope,Kenny Florian,235
1,227,Luke Cummo,Joe Stevenson,235
1,231,Marcus Davis,Melvin Guillard,235
0,231,Melvin Guillard,Marcus Davis,235
1,226,Nick Diaz,Diego Sanchez,235
0,232,Rashad Evans,Brad Imes,235
1,228,Sammy Morgan,Joshua Burkman,235
1,240,Ansar Chalangov,Thiago Alves,237
0,233,Gabriel Gonzaga,Kevin Jordan,237
0,234,Georges St-Pierre,Sean Sherk,237
1,239,Jeff Newton,Sam Hoger,237
0,235,Jeremy Horn,Trevor Prangley,237
1,236,Joe Riggs,Matt Hughes,237
1,237,Keith Wisniewski,Nick Thompson,237
1,233,Kevin Jordan,Gabriel Gonzaga,237
0,236,Matt Hughes,Joe Riggs,237
1,238,Nate Quarry,Rich Franklin,237
0,237,Nick Thompson,Keith Wisniewski,237
0,238,Rich Franklin,Nate Quarry,237
0,239,Sam Hoger,Jeff Newton,237
1,234,Sean Sherk,Georges St-Pierre,237
0,240,Thiago Alves,Ansar Chalangov,237
1,235,Trevor Prangley,Jeremy Horn,237
1,246,Aaron Riley,Spencer Fisher,245
1,243,Alex Karalexis,Jason Von Flue,245
1,248,Assuerio Silva,Tim Sylvia,245
0,241,Chris Leben,Jorge Rivera,245
1,245,Drew Fickett,Joshua Burkman,245
0,242,Duane Ludwig,Jonathan Goulet,245
1,247,James Irvin,Stephan Bonnar,245
0,243,Jason Von Flue,Alex Karalexis,245
1,242,Jonathan Goulet,Duane Ludwig,245
1,241,Jorge Rivera,Chris Leben,245
0,244,Josh Neer,Melvin Guillard,245
0,245,Joshua Burkman,Drew Fickett,245
1,244,Melvin Guillard,Josh Neer,245
0,246,Spencer Fisher,Aaron Riley,245
0,247,Stephan Bonnar,James Irvin,245
0,248,Tim Sylvia,Assuerio Silva,245
0,249,Alessio Sakara,Elvis Sinosic,248
1,252,Branden Lee Hinkle,Jeff Monson,248
0,250,Brandon Vera,Justin Eilers,248
